番号,山名,よみがな,所在地
101,天塩岳,てしおだけ,北海道天塩岳
102,石狩岳,いしかりだけ,北海道石狩岳
103,ニペソツ山,にぺそつやま,北海道ニペソツ山
104,カムイエクウチカウシ山,かむいえくうちかうしやま,北海道札内川上流
105,ペテガリ岳,ぺてがりだけ,北海道ピリガイ山
106,芦別岳,あしべつだけ,北海道芦別岳
107,夕張岳,ゆうばりだけ,北海道夕張岳
108,暑寒別岳,しょかんべつだけ,北海道暑寒別岳
109,樽前山,たるまえさん,北海道樽前山
110,駒ヶ岳,こまがたけ,北海道駒ヶ岳
111,白神岳,しらかみだけ,青森県白神岳
112,姫神山,ひめかみやま,岩手県陸中南山形
113,駒ヶ岳,こまがたけ,秋田県秋田駒ヶ岳
114,和賀岳,わがだけ,岩手/秋田北川舟
115,焼石岳,やけいしだけ,岩手県焼石岳
116,栗駒山,くりこまやま,岩手/宮城栗駒山
117,神室山,かむろさん,秋田/山形神室山
118,森吉山,もりよしざん,秋田県森吉山
119,以東岳,いとうだけ,山形/新潟大鳥池
120,船形山,ふながたやま,宮城/山形船形山
121,杁差岳,えぶりさしだけ,新潟県杁差岳
122,二王子岳,にのうじだけ,新潟県二王子岳
123,御神楽岳,みかぐらだけ,新潟県御神楽岳
124,守門岳,すもんだけ,新潟県守門岳
125,中ノ岳,なかのだけ,新潟県兎岳
126,八海山,はっかいさん,新潟県八海山
127,荒沢岳,あらさわだけ,新潟県奥只見湖
128,佐武流山,さぶりゅうやま,新潟/長野佐武流山
129,鳥甲山,とりかぶとやま,長野県鳥甲山
130,帝釈山,たいしゃくざん,福島/栃木帝釈山
131,朝日岳,あさひだけ,福島県会津朝日岳
132,女峰山,にょほうさん,栃木県日光北部
133,仙ノ倉山,せんのくらやま,群馬/新潟三国峠
134,白砂山,しらすなやま,群馬/長野野反湖
135,岩菅山,いわすげやま,長野県岩菅山
136,浅間隠山,あさまかくしやま,群馬県浅間隠山
137,榛名山,はるなさん,群馬県榛名湖
138,妙義山,みょうぎさん,群馬県松井田
139,荒船山,あらふねやま,群馬/長野荒船山
140,御座山,おぐらさん,長野県信濃中島
141,武甲山,ぶこうさん,埼玉県秩父
142,白石山,しろいしやま,埼玉県雲取山
143,茅ヶ岳,かやがたけ,山梨県茅ヶ岳
144,乾徳山,けんとくさん,山梨県川浦
145,大岳山,おおだけさん,東京都武蔵御岳
146,三ッ峠山,みつとうげやま,山梨県河口湖東部
147,御正体山,みしょうたいやま,山梨県御正体山
148,毛無山,けなしさん,山梨/山梨人穴
149,愛鷹山,あしたかやま,静岡県愛鷹山
150,天狗岳,てんぐだけ,長野県蓼科
151,黒姫山,くろひめやま,長野県信濃柏原
152,戸隠山,とがくしやま,長野県高妻山
153,飯縄山,いいづなやま,長野県若槻
154,雪倉岳,ゆきくらだけ,新潟/富山白馬岳
155,針ノ木岳,はりのきだけ,富山/長野黒部湖
156,烏帽子岳,えぼしだけ,富山/長野烏帽子岳
157,赤牛岳,あかうしだけ,富山県薬師岳
158,毛勝山,けかつやま,富山県毛勝山
159,大日岳,だいにちだけ,富山県剣岳
160,有明山,ありあけやま,長野県有明
161,餓鬼岳,がきだけ,長野県烏帽子岳
162,燕岳,つばくろだけ,長野県槍ヶ岳
163,大天井岳,おてんしょうだけ,長野県槍ヶ岳
164,霞沢岳,かすみざわだけ,長野県上高地
165,鋸岳,のこぎりだけ,山梨/長野甲斐駒ヶ岳
166,農鳥岳,のうとりだけ,山梨/静岡間ノ岳
167,上河内岳,かみこうちだけ,静岡県上河内岳
168,池口岳,いけぐちだけ,長野/静岡池口岳
169,大無間山,だいむげんざん,静岡県畑薙湖
170,櫛形山,くしがたやま,山梨県夜叉神峠
171,笊ヶ岳,ざるがたけ,山梨/静岡新倉
172,七面山,しちめんざん,山梨県七面山
173,小秀山,こひでやま,長野/岐阜滝越
174,経ヶ岳,きょうがたけ,長野県宮ノ越
175,南駒ヶ岳,みなみこまがたけ,長野県空木岳
176,安平路山,あんぺいじやま,長野県安平路山
177,金剛堂山,こんごうどうざん,富山県白木峰
178,笈ヶ岳,おいずるがたけ,石川/富山中宮温泉
179,大日ヶ岳,だいにちがだけ,岐阜県石徹白
180,位山,くらいやま,岐阜県位山
181,能郷白山,のうごうはくさん,岐阜県能郷白山
182,御在所岳,ございしょだけ,滋賀/三重御在所山
183,釈迦ヶ岳,しゃかがたけ,奈良県釈迦ヶ岳
184,伯母子岳,おばこだけ,奈良県伯母子岳
185,金剛山,こんごうざん,奈良県五條
186,武奈ヶ岳,ぶながたけ,滋賀県北小松
187,氷ノ山,ひょうのせん,兵庫/鳥取氷ノ山
188,蒜山,ひるぜん,鳥取/岡山蒜山
189,三瓶山,さんべさん,島根県三瓶山西部
190,三嶺,みうね,徳島/高知京上
191,東赤石山,ひがしあかいしやま,愛媛県弟地
192,笹ヶ峰,ささがみね,愛媛/高知日ノ浦
193,英彦山,ひこさん,福岡/大分英彦山
194,雲仙岳,うんぜんだけ,長崎県島原
195,由布岳,ゆふだけ,大分県別府西部
196,大崩山,おおくえやま,宮崎県祝子川
197,市房山,いちふさやま,熊本/宮崎市房山
198,尾鈴山,おすずやま,宮崎県尾鈴山
199,高千穂峰,たかちほのみね,宮崎県高千穂峰
200,御岳,おんたけ,鹿児島県桜島北部